DealerCode,Date,% Customer Pay Service,Current Ratio,Days Supply - New Vehicle,Days of Inventory (Parts),Dealer Loyalty,Dealer Service Retention,F&I New Car Gross PNVR,Floorplan Expense PNVR,KSI R3,F&I Penetration,Service Sales per Advisor,N.V. Sales per Sales Consultants,Net Profit (Loss) before taxes – current month,Net Profit BBIT % Sales (ROS),Parts to Labor Ratio,Rent Expense PVR,SEI R3,Total Advertising Expenses PVR,Total Dealership Expenses - PVR,Used F&I per retail unit,Used to New Ratio,VolumnGrp,operationaldate,TerminationDate,Is the Dealer at Risk?
Dealer1,1/1/2018,32.29,1.67,114.41,116.05,58.27,53.2,1269.14,355.88,808.6,79.66,16900.25,9.83,2231,0.08,1.01,1000.01,964.1,537.96,5417.65,721.52,0.5,VG-4,7/1/1997,,No
Dealer1,1/2/2018,45.87,1.66,199.71,126.01,57.41,53.69,1308.89,532.91,782.9,94.29,14172.5,5.83,-94625,-1.79,0.88,1344.28,956.3,664.14,7534.28,567.04,0.9,VG-4,7/1/1997,,Yes
Dealer1,1/3/2018,42.89,1.71,106.07,109.95,57.65,53.33,1677.82,470.28,769,89.29,16046.25,9.33,-17667,-0.35,1.03,987.96,940.3,586.99,7317.52,930.59,0.68,VG-4,7/1/1997,,Yes
Dealer1,1/4/2018,52.9,1.77,151.67,113.68,55.47,52.75,1152.25,354.66,789.5,77.78,16588.5,6,-21541,-0.44,0.88,1413.81,940,556.72,6395.38,-55.91,0.5,VG-5,7/1/1997,,Yes
Dealer1,1/5/2018,45.78,1.85,108.37,101.8,54.93,47.19,992.67,332.9,820.8,79.59,14868.5,8.17,21474,0.35,0.95,1389.85,,563.96,5781.98,254.6,0.33,VG-5,7/1/1997,,Yes
Dealer1,1/6/2018,50.04,1.65,105.33,34.11,54.68,47.08,1090.76,506.5,857.2,66.67,12479,7.5,-41479,-0.86,1.16,1051.29,,347,6281.51,456,0.9,VG-5,7/1/1997,,Yes
Dealer1,1/7/2018,48.87,3.98,124.2,102.54,53.65,46.6,1506.14,23.76,849.2,76,12047.5,8.33,2985,0.03,1,341.65,,-119.05,1211.95,627.87,0.14,VG-5,7/1/1997,,Yes
Dealer1,1/8/2018,45.43,2.95,90,105.93,55.02,46.31,1043.34,30.92,839.8,76.47,19008,11.33,116288,4.48,1.19,255.1,,43.41,2948.61,458.97,0.42,VG-5,7/1/1997,,Yes
Dealer1,1/9/2018,42.8,2.32,191.71,121.92,55.6,45.68,1296.85,236.71,826.5,39.02,15215.25,6.83,-53670,-3.1,1.23,431.03,0,20.5,4258.79,220.88,0.41,VG-5,7/1/1997,,Yes
Dealer1,1/10/2018,32.2,2.53,112,104.48,57.14,45,1306.75,225.13,820.3,0,18194.5,10,66055,3.12,1.09,304.88,0,-190.6,3198.84,481.14,0.37,VG-5,7/1/1997,,Yes
Dealer1,1/11/2018,48.88,3.33,146.11,139.3,57.2,43.95,1374.72,121.89,838.9,0,13191.25,9,314,0.02,1.1,324.68,0,1233.09,3663.26,731.83,0.43,VG-5,7/1/1997,,Yes
Dealer1,1/12/2018,49.37,3.55,190,135.49,57.52,43.39,1109.5,199.19,833.2,0,10371.75,7,243526,14.72,0.91,390.63,884.91,218.31,3167.91,794.55,0.52,VG-5,7/1/1997,,No
Dealer1,1/1/2019,27.42,5.95,148.97,49.8,59.5,43.12,1088.05,512.84,826.1,0,19082.5,9.67,48640,2.3,0.9,324.68,827.14,640.51,3609.49,649.32,0.33,VG-5,7/1/1997,,No
Dealer1,1/2/2019,28.15,6.41,167.76,61.55,58.74,43.25,1359.92,579.47,808.8,0,14841.25,8.17,46554,2.64,1.04,333.33,840,660.96,3516.89,739,0.53,VG-5,7/1/1997,,No
Dealer1,1/3/2019,46.65,7.46,154.53,91.59,53.79,42.68,1391.34,589.74,839.1,88.68,13659.5,8.83,-32211,-1.57,0.93,320.51,840,639.79,3704.41,865.44,0.47,VG-5,7/1/1997,,No
Dealer1,1/4/2019,34.97,5.15,160.5,81.02,55.25,41.87,1442.92,498.55,859.9,83.33,13338.75,10,48482,2.28,0.96,333.33,839.52,652.09,3817.23,1002.33,0.25,VG-5,7/1/1997,,No
Dealer1,1/5/2019,31.8,8.67,137.73,90.09,54.39,41.7,1545.92,474.42,865.8,87.88,14002,11,100930,4.48,0.94,294.12,847.5,595.61,3222.93,733.79,0.29,VG-5,7/1/1997,,No
Dealer1,1/6/2019,21.19,6.89,166.84,48.05,53.87,41.49,1426.56,565.49,845.3,87.72,19760,9.5,46556,2.25,0.76,352.11,834.69,710.97,3761.04,620.93,0.25,VG-5,7/1/1997,,No
Dealer1,1/7/2019,33.86,15.29,137.65,54.38,54.7,41.37,1299.46,368.72,826,82.35,18120,11.33,80877,3.47,0.83,287.36,848.5,567.56,2808.36,405.37,0.28,VG-5,7/1/1997,,No
Dealer1,1/8/2019,34.6,26.78,143.23,54.92,54.76,40.12,1379.63,372.37,798.9,95.16,14696.75,10.33,99823,4.41,0.86,280.9,850,545.08,3130.42,649.37,0.44,VG-5,7/1/1997,,No
Dealer1,1/9/2019,46.33,180.35,171.6,80.47,54.88,40.12,1156.5,414.3,776.2,90,11764.5,8.33,26869,1.28,0.82,416.67,849.38,808.43,3890.17,725.4,0.2,VG-5,7/1/1997,,No
Dealer1,1/10/2019,43.11,128.82,148.91,56.68,54.43,40.12,1196.25,378.64,752.3,94.55,13402.25,9.17,42668,2.33,0.98,378.79,848,711.53,3627.47,476,0.2,VG-5,7/1/1997,,No
Dealer1,1/11/2019,38.84,11.03,29.04,46.88,56.78,39.01,1673.45,142.93,742.6,55.32,18727.75,15.67,225311,6.85,0.98,211.86,831.45,400.28,2497.97,421.71,0.26,VG-5,7/1/1997,,No
Dealer1,1/12/2019,36.65,11.84,121.3,39.85,57.28,39.05,2201.28,293.87,746.3,92.75,13878,11.5,177344,6.93,0.7,290.7,824.08,566.53,3028.53,-192.94,0.25,VG-4,7/1/1997,,No
Dealer1,1/1/2020,47.22,18.29,171,31.94,55.08,38.82,2088.58,397.42,747.1,96,22408,8.33,68868,3.42,0.82,304.88,842.5,558.82,3030.04,149.41,0.64,VG-4,7/1/1997,,No
Dealer1,1/2/2020,41.11,22.66,125.37,37.91,55.7,39.11,1902.03,255.09,761.3,101.49,25566,11.17,157890,6.03,0.86,271.74,898.7,508.65,2881.45,1133.44,0.37,VG-4,7/1/1997,,No
Dealer1,1/3/2020,48.3,30.71,212.2,38.83,55.26,38.77,1741.73,506,752.1,95.12,21320,6.83,95,0.07,0.72,396.83,872.11,742.87,4009.05,799.18,0.54,VG-4,7/1/1997,,No
Dealer2,1/1/2018,39.21,1.14,151.36,52.8,56.49,46.3,849.32,629.13,938.4,140.91,17698.5,2.75,-33477,-1.3,0.82,413.43,990.5,627.95,4911.46,408.49,1.13,VG-6,8/28/2001,,Yes
Dealer2,1/2/2018,49.46,1.14,181.76,59.63,56.36,47.75,667.76,347.03,948.3,200,17001.5,2.13,4257,0.15,0.84,390.14,998.6,603.36,3914.52,448.37,1.5,VG-6,8/28/2001,,Yes
Dealer2,1/3/2018,50.81,1.13,90.94,47.66,56.96,47.29,803.75,315.05,943.1,143.75,19766.5,4,34496,1.03,0.85,304.4,993.5,433.46,3280.54,237.49,0.97,VG-6,8/28/2001,,No
Dealer2,1/4/2018,46.62,1.13,54.42,54.75,57.86,47.2,952.79,267.58,941.4,139.53,16965.5,5.38,80239,2.06,0.92,266.35,988.6,476.14,3222.13,651.28,0.91,VG-6,8/28/2001,,No
Dealer2,1/5/2018,39.04,1.12,70.71,44.55,58.39,44.48,694.11,376.93,930.7,121.43,20138,3.5,17478,0.55,0.71,346.25,,619.65,3961.56,591.15,1.16,VG-6,8/28/2001,,No
Dealer2,1/6/2018,34.96,1.11,29.35,60.56,57.89,43.34,473.89,286.83,931.2,82.61,18229.5,5.75,142554,3.91,0.71,322.09,,457.07,3355.09,440.8,0.58,VG-6,8/28/2001,,No
Dealer2,1/7/2018,43.12,1.03,110.63,55.8,56.95,43.06,645.25,-68.28,938.1,71.88,16896,4,1008,0.04,1.27,374.32,,720.87,3945.09,399,0.89,VG-6,8/28/2001,,No
Dealer2,1/8/2018,39.68,1.02,148.89,49.33,56.16,43.03,363.04,321.15,942.3,103.7,23206.5,3.38,2059,0.08,0.87,337.8,,662.11,4107.47,536.8,1.41,VG-6,8/28/2001,,No
Dealer2,1/9/2018,38.39,1.01,128.57,59.82,55.7,42.76,844.64,192.96,946.7,210.71,15739,3.5,21444,0.67,0.81,337.8,0,638.46,3550.57,387.67,1.1,VG-6,8/28/2001,,No
Dealer2,1/10/2018,48.69,1,100,45.08,55.8,43.27,438.13,258.48,936.9,126.67,17402,3.75,-36995,-1.08,0.88,369.33,0,648.28,4178.34,584.56,0.9,VG-6,8/28/2001,,No
Dealer2,1/11/2018,41.04,0.92,132.69,48.52,55.8,43.77,595.92,555.52,939.8,126.92,18973,3.25,-40398,-1.46,0.74,384.72,0,793.54,4415.83,338.28,1.05,VG-6,8/28/2001,,No
